iter	Passed	Remaining
0	1	1672
1	4	2125
2	6	2245
3	9	2402
4	12	2501
5	15	2509
6	17	2502
7	20	2545
8	23	2611
9	27	2712
10	29	2636
11	31	2623
12	34	2613
13	37	2616
14	39	2601
15	42	2622
16	45	2613
17	47	2595
18	49	2573
19	52	2555
20	55	2581
21	58	2583
22	60	2553
23	65	2654
24	67	2624
25	70	2639
26	73	2658
27	77	2673
28	79	2662
29	81	2650
30	84	2640
31	87	2638
32	88	2604
33	92	2614
34	95	2625
35	97	2620
36	99	2585
37	101	2578
38	105	2595
39	108	2598
40	110	2595
41	114	2601
42	117	2608
43	120	2612
44	122	2607
45	125	2604
46	128	2606
47	131	2613
48	136	2650
49	139	2648
50	142	2642
51	145	2655
52	148	2658
53	152	2671
54	155	2669
55	158	2663
56	159	2645
57	162	2638
58	163	2614
59	166	2602
60	168	2594
61	171	2599
62	174	2602
63	177	2595
64	180	2594
65	183	2596
66	186	2596
67	190	2607
68	193	2615
69	199	2656
70	204	2679
71	208	2682
72	210	2675
73	213	2674
74	217	2680
75	220	2683
76	223	2675
77	225	2667
78	228	2658
79	229	2635
80	231	2632
81	234	2626
82	236	2616
83	238	2597
84	240	2590
85	244	2595
86	246	2588
87	249	2588
88	252	2589
89	255	2582
90	258	2580
91	261	2581
92	264	2577
93	266	2568
94	268	2561
95	270	2551
96	273	2542
97	275	2534
98	277	2527
99	279	2518
100	282	2513
101	285	2509
102	287	2503
103	290	2499
104	291	2488
105	294	2483
106	297	2479
107	300	2486
108	303	2484
109	307	2484
110	309	2482
111	314	2490
112	317	2493
113	320	2494
114	324	2493
115	329	2513
116	332	2510
117	335	2506
118	337	2501
119	341	2504
120	344	2500
121	346	2496
122	350	2497
123	352	2492
124	355	2489
125	359	2491
126	362	2489
127	365	2486
128	367	2481
129	369	2475
130	372	2469
131	375	2465
132	377	2461
133	378	2447
134	381	2442
135	384	2440
136	386	2435
137	392	2453
138	395	2449
139	398	2447
140	401	2446
141	403	2439
142	406	2437
143	410	2438
144	412	2435
145	415	2431
146	419	2433
147	422	2432
148	426	2437
149	429	2433
150	432	2432
151	435	2431
152	438	2426
153	440	2421
154	447	2439
155	451	2441
156	454	2441
157	458	2441
158	461	2442
159	464	2440
160	467	2437
161	470	2434
162	473	2430
163	476	2426
164	478	2423
165	481	2418
166	485	2420
167	488	2418
168	490	2414
169	494	2412
170	496	2407
171	499	2402
172	502	2400
173	504	2395
174	507	2391
175	509	2387
176	512	2383
177	516	2382
178	518	2380
179	521	2376
180	523	2370
181	527	2371
182	530	2367
183	533	2365
184	536	2364
185	539	2361
186	541	2356
187	544	2350
188	546	2346
189	549	2343
190	552	2338
191	554	2333
192	556	2327
193	559	2324
194	562	2323
195	566	2324
196	570	2325
197	573	2324
198	577	2324
199	581	2324
200	583	2320
201	585	2314
202	589	2312
203	591	2309
204	594	2304
205	596	2299
206	598	2294
207	601	2288
208	603	2282
209	605	2276
210	607	2270
211	609	2264
212	611	2258
213	613	2253
214	615	2247
215	617	2241
216	619	2235
217	621	2230
218	623	2225
219	625	2219
220	627	2213
221	630	2208
222	632	2203
223	634	2198
224	636	2193
225	639	2189
226	641	2185
227	644	2180
228	646	2176
229	648	2171
230	650	2166
231	652	2161
232	655	2156
233	657	2152
234	660	2148
235	662	2145
236	665	2140
237	667	2138
238	670	2136
239	673	2132
240	677	2133
241	680	2130
242	682	2126
243	684	2122
244	687	2118
245	689	2114
246	693	2113
247	695	2110
248	698	2107
249	701	2103
250	703	2099
251	707	2100
252	710	2098
253	713	2094
254	715	2090
255	717	2085
256	719	2081
257	722	2077
258	725	2074
259	727	2069
260	729	2065
261	731	2060
262	733	2055
263	735	2050
264	737	2045
265	740	2042
266	742	2037
267	744	2033
268	746	2028
269	748	2023
270	750	2018
271	752	2013
272	754	2009
273	756	2005
274	759	2001
275	761	1997
276	765	1997
277	768	1994
278	770	1990
279	773	1987
280	776	1985
281	778	1981
282	780	1977
283	782	1973
284	785	1969
285	787	1964
286	789	1960
287	791	1956
288	794	1953
289	796	1951
290	799	1947
291	801	1943
292	803	1939
293	807	1938
294	810	1936
295	813	1933
296	815	1930
297	818	1927
298	820	1923
299	822	1920
300	825	1916
301	827	1912
302	829	1908
303	831	1904
304	833	1900
305	836	1896
306	838	1893
307	841	1890
308	843	1886
309	845	1882
310	847	1878
311	850	1876
312	853	1873
313	856	1871
314	859	1868
315	861	1865
316	862	1858
317	864	1855
318	866	1849
319	868	1846
320	871	1842
321	873	1839
322	875	1835
323	878	1832
324	880	1829
325	883	1826
326	885	1823
327	888	1820
328	890	1816
329	893	1813
330	895	1809
331	897	1806
332	900	1803
333	902	1799
334	904	1795
335	906	1791
336	908	1787
337	911	1785
338	914	1782
339	917	1780
340	922	1781
341	925	1780
342	928	1777
343	931	1775
344	933	1773
345	936	1769
346	938	1766
347	941	1764
348	943	1760
349	946	1757
350	949	1754
351	951	1751
352	954	1748
353	956	1745
354	959	1742
355	961	1739
356	964	1737
357	967	1734
358	969	1731
359	972	1728
360	974	1724
361	976	1720
362	979	1718
363	981	1715
364	984	1712
365	986	1709
366	989	1706
367	996	1710
368	998	1707
369	1002	1706
370	1007	1708
371	1010	1705
372	1013	1703
373	1015	1699
374	1017	1696
375	1020	1693
376	1023	1690
377	1028	1691
378	1030	1688
379	1033	1685
380	1035	1682
381	1037	1679
382	1042	1678
383	1044	1676
384	1047	1673
385	1050	1670
386	1052	1667
387	1054	1664
388	1058	1662
389	1061	1660
390	1064	1658
391	1067	1655
392	1070	1653
393	1073	1650
394	1076	1648
395	1078	1645
396	1081	1642
397	1083	1639
398	1088	1639
399	1091	1637
400	1094	1634
401	1096	1631
402	1099	1628
403	1101	1625
404	1106	1625
405	1110	1624
406	1112	1621
407	1116	1620
408	1119	1618
409	1125	1619
410	1127	1615
411	1130	1613
412	1133	1611
413	1140	1614
414	1143	1612
415	1146	1609
416	1152	1611
417	1155	1609
418	1158	1606
419	1160	1603
420	1163	1600
421	1167	1599
422	1171	1598
423	1174	1595
424	1176	1591
425	1179	1588
426	1183	1588
427	1186	1585
428	1188	1582
429	1190	1578
430	1192	1574
431	1194	1571
432	1197	1568
433	1200	1565
434	1202	1562
435	1205	1558
436	1207	1555
437	1209	1552
438	1212	1549
439	1214	1546
440	1217	1543
441	1220	1540
442	1222	1537
443	1225	1534
444	1228	1532
445	1231	1530
446	1234	1527
447	1237	1524
448	1239	1521
449	1242	1518
450	1244	1515
451	1247	1512
452	1250	1509
453	1252	1506
454	1255	1503
455	1257	1500
456	1262	1499
457	1264	1496
458	1267	1494
459	1270	1491
460	1273	1488
461	1275	1485
462	1278	1482
463	1282	1481
464	1285	1479
465	1288	1476
466	1291	1473
467	1292	1469
468	1295	1466
469	1298	1463
470	1300	1460
471	1303	1458
472	1306	1455
473	1310	1454
474	1314	1452
475	1317	1449
476	1319	1446
477	1322	1443
478	1325	1441
479	1328	1438
480	1331	1436
481	1334	1433
482	1337	1431
483	1340	1428
484	1343	1426
485	1346	1424
486	1350	1422
487	1352	1419
488	1355	1416
489	1358	1413
490	1360	1410
491	1363	1407
492	1366	1404
493	1368	1401
494	1371	1398
495	1377	1400
496	1380	1397
497	1383	1394
498	1385	1391
499	1388	1388
500	1390	1385
501	1393	1382
502	1396	1379
503	1398	1376
504	1401	1373
505	1405	1371
506	1408	1369
507	1410	1366
508	1413	1363
509	1415	1360
510	1418	1357
511	1420	1354
512	1423	1351
513	1426	1349
514	1429	1346
515	1434	1345
516	1438	1343
517	1441	1340
518	1444	1338
519	1447	1335
520	1450	1333
521	1453	1330
522	1455	1327
523	1457	1324
524	1460	1321
525	1462	1318
526	1465	1315
527	1470	1314
528	1473	1312
529	1475	1308
530	1477	1304
531	1479	1301
532	1481	1298
533	1484	1295
534	1486	1291
535	1489	1289
536	1491	1285
537	1493	1282
538	1496	1279
539	1503	1280
540	1506	1277
541	1510	1276
542	1513	1273
543	1516	1271
544	1519	1268
545	1522	1266
546	1525	1263
547	1528	1261
548	1531	1258
549	1535	1256
550	1538	1253
551	1541	1250
552	1544	1248
553	1547	1245
554	1549	1242
555	1552	1239
556	1555	1236
557	1557	1234
558	1560	1231
559	1564	1229
560	1567	1226
561	1570	1223
562	1572	1220
563	1575	1218
564	1578	1215
565	1580	1212
566	1583	1208
567	1585	1205
568	1587	1202
569	1589	1199
570	1591	1195
571	1595	1193
572	1598	1191
573	1601	1188
574	1603	1184
575	1605	1181
576	1607	1178
577	1609	1175
578	1611	1171
579	1614	1168
580	1616	1165
581	1619	1163
582	1623	1160
583	1625	1157
584	1627	1154
585	1629	1151
586	1632	1148
587	1635	1146
588	1637	1142
589	1639	1139
590	1642	1136
591	1644	1133
592	1647	1130
593	1650	1127
594	1652	1124
595	1654	1121
596	1656	1118
597	1658	1114
598	1660	1111
599	1664	1109
600	1669	1108
601	1672	1106
602	1676	1103
603	1679	1100
604	1682	1098
605	1684	1095
606	1687	1092
607	1690	1090
608	1702	1092
609	1705	1090
610	1707	1087
611	1710	1084
612	1714	1082
613	1717	1079
614	1720	1077
615	1724	1074
616	1727	1072
617	1730	1069
618	1733	1067
619	1737	1064
620	1741	1062
621	1744	1060
622	1746	1056
623	1749	1053
624	1751	1051
625	1754	1048
626	1762	1048
627	1765	1046
628	1769	1043
629	1774	1042
630	1777	1039
631	1780	1036
632	1784	1034
633	1789	1032
634	1792	1030
635	1794	1027
636	1796	1023
637	1798	1020
638	1801	1017
639	1803	1014
640	1805	1011
641	1807	1008
642	1810	1004
643	1812	1001
644	1814	998
645	1818	996
646	1823	994
647	1827	992
648	1832	990
649	1836	989
650	1840	986
651	1845	984
652	1852	984
653	1855	981
654	1859	979
655	1864	977
656	1868	975
657	1872	973
658	1875	970
659	1878	967
660	1888	968
661	1892	966
662	1894	963
663	1898	960
664	1901	957
665	1904	955
666	1906	952
667	1909	949
668	1911	945
669	1915	943
670	1918	940
671	1921	937
672	1925	935
673	1927	932
674	1930	929
675	1933	926
676	1937	924
677	1939	921
678	1942	918
679	1947	916
680	1950	913
681	1952	910
682	1954	907
683	1956	904
684	1959	901
685	1962	898
686	1965	895
687	1968	892
688	1972	890
689	1975	887
690	1977	884
691	1980	881
692	1983	878
693	1985	875
694	1988	872
695	1990	869
696	1993	866
697	1995	863
698	1998	860
699	2000	857
700	2003	854
701	2006	851
702	2009	848
703	2012	846
704	2015	843
